                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.70512,                 1.0014,                 1.5138,                 1.0181,                0.18433,                 0.2412,                0.16574,                0.12517,                0.18433,                 0.2412,                0.16836,                0.12848,                0.91164,                 2.5526,                  2.977,                 1.1492,              0.0008911,              0.0008911,              0.0008911
                     25,                0.69994,                 1.0812,                 1.4877,                 1.0161,                0.13303,                0.25417,                0.14005,                0.11094,                0.13303,                0.25417,                0.13931,                0.11353,                0.98848,                 2.6963,                 2.9634,                 1.2095,             0.00088615,             0.00088615,             0.00088615
                     26,                 0.6976,                0.98238,                 1.4156,                 1.0078,                0.14864,                0.30075,                 0.1425,                0.10614,                0.14864,                0.30075,                0.14579,                0.10995,                0.97597,                 2.6642,                 2.9393,                  1.169,              0.0008812,              0.0008812,              0.0008812
                     27,                0.66196,                0.96095,                 1.3291,                 0.9953,                  0.174,                0.23367,                0.16248,                0.13008,                0.16287,                0.24882,                0.16697,                0.13408,                0.94555,                 2.5473,                 2.9324,                 1.1683,             0.00087625,             0.00087625,             0.00087625
                     28,                0.66171,                0.97041,                   1.29,                0.98203,                0.19884,                0.21323,                0.17373,                0.14176,                0.19884,                0.21323,                0.17429,                0.14423,                 1.0096,                  2.413,                  3.081,                 1.2392,              0.0008713,              0.0008713,              0.0008713
                     29,                0.66601,                0.95892,                 1.2814,                0.98146,                0.32542,                0.21292,                0.18478,                 0.1475,                0.32542,                0.21292,                0.18896,                0.14417,                0.95047,                 2.4008,                  3.027,                  1.131,             0.00086635,             0.00086635,             0.00086635
                     30,                0.65125,                0.87841,                 1.2461,                0.97745,                0.18073,                0.19699,                 0.1512,                0.12139,                0.18073,                0.19699,                0.15144,                0.11712,                  0.987,                 2.4363,                 2.9587,                 1.1508,              0.0008614,              0.0008614,              0.0008614
                     31,                0.66978,                 0.9458,                 1.3005,                0.97472,                0.14181,                0.21727,                0.10635,                0.07906,                0.14181,                0.21727,                0.10672,                0.08125,                 1.0155,                 2.5193,                 3.1954,                 1.2123,             0.00085645,             0.00085645,             0.00085645
                     32,                0.67874,                0.91062,                 1.3158,                0.99515,                0.15374,                0.22765,                0.10365,                0.07143,                0.15374,                0.22765,                0.09987,                0.07619,                 1.0614,                 2.6698,                 3.2325,                 1.2213,              0.0008515,              0.0008515,              0.0008515
                     33,                0.69188,                0.91547,                 1.2531,                0.99033,                0.22504,                0.31332,                0.16392,                0.12969,                0.22504,                0.31332,                0.16467,                0.12484,                0.92929,                 2.7789,                  2.948,                 1.1687,             0.00084655,             0.00084655,             0.00084655
                     34,                0.64381,                0.92789,                 1.2148,                0.97569,                0.14574,                0.22316,                0.14018,                0.11318,                0.14574,                0.22316,                0.14218,                0.11356,                0.98237,                 2.6869,                 3.0264,                 1.1698,              0.0008416,              0.0008416,              0.0008416
                     35,                0.64952,                0.86406,                 1.2126,                0.96376,                0.11909,                0.22468,                0.12661,                0.09844,                0.11909,                0.22468,                0.12613,                0.09967,                 1.0394,                 2.7037,                 3.2361,                 1.1927,             0.00083665,             0.00083665,             0.00083665
                     36,                0.62939,                0.87259,                 1.2246,                0.98761,                 0.1725,                0.32095,                0.13609,                0.10779,                0.17265,                0.31926,                0.13153,                 0.1062,                 1.0516,                 3.2583,                 3.1244,                  1.265,              0.0008317,              0.0008317,              0.0008317
                     37,                0.60775,                0.92784,                  1.158,                0.96981,                0.12075,                0.30289,                0.11498,                0.08869,                0.12075,                0.30289,                 0.1154,                0.08754,                 0.9435,                 2.6373,                 3.1381,                 1.1745,             0.00082675,             0.00082675,             0.00082675
                     38,                0.64198,                0.90472,                 1.1169,                0.97679,                0.13369,                0.32177,                0.12171,                0.09616,                0.13369,                0.32177,                0.12229,                0.09502,                0.95101,                 2.5394,                 3.1398,                 1.1666,              0.0008218,              0.0008218,              0.0008218
                     39,                0.58601,                 0.8276,                 1.0478,                0.95595,                0.14338,                0.30423,                0.15225,                0.12627,                0.14338,                0.30423,                0.15009,                0.11926,                0.93768,                 2.5604,                   3.03,                 1.1516,             0.00081685,             0.00081685,             0.00081685
                     40,                0.61533,                0.86566,                 1.1314,                 0.9656,                0.14104,                0.18333,                0.13066,                0.10498,                0.14104,                0.18333,                0.12953,                0.10791,                0.91887,                 2.4035,                 3.0314,                 1.1419,              0.0008119,              0.0008119,              0.0008119
                     41,                0.61085,                0.91052,                 1.0528,                0.96398,                  0.149,                0.26213,                0.13201,                0.10494,                  0.149,                0.26213,                0.13062,                0.10564,                0.94476,                 2.6989,                 3.0439,                 1.1466,             0.00080695,             0.00080695,             0.00080695
                     42,                0.59225,                0.82175,                  1.047,                0.95824,                0.18296,                0.29667,                0.17338,                0.13952,                0.18296,                0.29667,                0.17392,                0.14241,                0.91111,                 3.1674,                 2.9114,                 1.1555,               0.000802,               0.000802,               0.000802
                     43,                0.55925,                0.80999,                 1.0176,                0.95327,                0.16227,                0.22804,                0.13979,                0.11434,                0.16227,                0.22804,                0.13832,                0.11543,                  0.988,                 3.0881,                 3.0284,                 1.2464,             0.00079705,             0.00079705,             0.00079705
