                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                0.44662,                0.63644,                0.62347,                0.90331,                0.19807,                0.15979,                0.13667,                 0.1167,                0.19807,                0.15979,                0.13421,                0.11799,                0.91462,                 2.6128,                 3.7249,                  1.124,              0.0004951,              0.0004951,              0.0004951
                    105,                0.43134,                0.58352,                 0.5531,                0.89245,                0.14291,                0.15317,                0.10707,                0.08623,                0.14358,                0.15317,                0.11187,                0.09636,                0.96737,                  2.636,                 3.9238,                 1.1507,             0.00049015,             0.00049015,             0.00049015
                    106,                0.45334,                0.59242,                0.55996,                0.89718,                0.10271,                0.15159,                0.14489,                0.11895,                0.10271,                0.15159,                0.14462,                0.12084,                0.94466,                 2.6381,                 3.6955,                 1.1495,              0.0004852,              0.0004852,              0.0004852
                    107,                0.43727,                0.59777,                0.55746,                0.89759,                0.19335,                0.16754,                0.18833,                0.15993,                0.19335,                0.16754,                0.18693,                0.15879,                0.90679,                 2.7058,                 3.4513,                 1.1173,             0.00048025,             0.00048025,             0.00048025
                    108,                0.46828,                0.65789,                0.59109,                0.90392,                0.22073,                0.21492,                0.15623,                 0.1386,                0.22073,                0.21492,                0.15506,                 0.1362,                0.90223,                 2.4967,                 3.3966,                  1.115,              0.0004753,              0.0004753,              0.0004753
                    109,                0.44696,                0.64176,                0.56659,                0.89261,                 0.2562,                0.18422,                0.15956,                0.13693,                 0.2562,                0.18422,                0.16059,                0.13664,                0.87966,                 2.4581,                  3.428,                 1.1124,             0.00047035,             0.00047035,             0.00047035
                    110,                0.41442,                0.55869,                0.53099,                0.88959,                0.23738,                0.21056,                0.17096,                0.14378,                0.23738,                0.21056,                0.17096,                0.14269,                0.84978,                 2.4622,                 3.5213,                 1.0834,              0.0004654,              0.0004654,              0.0004654
                    111,                 0.4458,                0.59832,                0.61197,                 0.9019,                0.22383,                0.19242,                0.16544,                0.14414,                0.22383,                0.19242,                0.16678,                 0.1405,                0.86039,                 2.5363,                   3.58,                 1.0964,             0.00046045,             0.00046045,             0.00046045
                    112,                0.43129,                0.65073,                 0.5324,                0.89346,                0.22565,                0.20957,                0.17162,                0.14372,                0.22565,                0.20957,                0.17032,                 0.1444,                0.85381,                 2.4876,                 3.4801,                 1.0788,              0.0004555,              0.0004555,              0.0004555
                    113,                0.41835,                0.56766,                 0.5491,                0.88643,                0.23383,                0.17492,                0.16728,                0.13789,                0.23383,                0.17492,                0.16615,                0.14238,                0.88203,                 2.3637,                  3.345,                 1.0948,             0.00045055,             0.00045055,             0.00045055
                    114,                0.43262,                0.61939,                0.54996,                0.88223,                 0.2287,                 0.2385,                 0.1822,                0.15028,                 0.2287,                 0.2385,                0.18124,                0.14881,                0.88152,                 2.2936,                 3.3319,                 1.0981,              0.0004456,              0.0004456,              0.0004456
                    115,                0.41143,                 0.5646,                 0.5287,                0.88701,                0.22266,                0.20741,                0.15686,                0.12635,                0.22266,                0.20741,                0.15686,                0.13134,                0.84584,                 2.4077,                 3.5045,                 1.0565,             0.00044065,             0.00044065,             0.00044065
                    116,                0.42277,                0.58956,                0.53238,                 0.8871,                0.21991,                0.21276,                0.15992,                0.12751,                0.21991,                0.21276,                0.15992,                0.13564,                0.84442,                 2.5155,                 3.5938,                  1.071,              0.0004357,              0.0004357,              0.0004357
                    117,                0.40201,                0.57572,                0.50882,                0.88521,                0.17951,                0.19353,                0.15495,                0.13011,                0.17951,                0.19353,                0.15495,                0.13676,                0.92688,                 2.7086,                 3.6774,                  1.141,             0.00043075,             0.00043075,             0.00043075
                    118,                0.40483,                0.56166,                0.51785,                 0.8889,                0.16703,                0.18868,                0.16295,                0.13714,                0.16703,                0.18868,                0.16357,                0.14063,                0.91616,                 2.6481,                 3.6465,                 1.1198,              0.0004258,              0.0004258,              0.0004258
                    119,                0.41765,                0.61329,                0.50869,                0.88655,                0.18639,                0.20599,                0.16081,                0.13986,                0.18639,                0.20599,                0.16786,                0.14686,                0.89408,                 2.5926,                  3.548,                 1.0815,             0.00042085,             0.00042085,             0.00042085
                    120,                0.42789,                0.59613,                0.53008,                0.88972,                 0.1508,                0.14841,                 0.1588,                0.13922,                 0.1508,                0.14841,                0.15721,                0.14008,                0.85942,                 2.6061,                 3.6101,                 1.0658,              0.0004159,              0.0004159,              0.0004159
                    121,                0.43477,                0.63018,                0.55154,                0.89911,                 0.1624,                0.15754,                0.14736,                0.13189,                 0.1624,                0.15754,                0.14736,                0.13185,                0.84807,                 2.6178,                 3.5896,                 1.0628,             0.00041095,             0.00041095,             0.00041095
                    122,                0.40831,                0.54655,                0.53208,                0.87807,                0.17052,                0.18836,                0.16928,                0.14518,                0.17052,                0.18836,                 0.1708,                0.14738,                0.87343,                 2.5151,                 3.5091,                 1.0774,               0.000406,               0.000406,               0.000406
                    123,                0.41916,                0.55561,                0.53448,                0.89194,                0.17711,                0.21185,                0.18796,                0.15836,                0.17711,                0.21185,                0.19132,                0.16119,                0.86863,                  2.506,                 3.3386,                 1.0861,             0.00040105,             0.00040105,             0.00040105
                    124,                0.42096,                0.59496,                0.49797,                0.88981,                0.21462,                 0.2199,                0.19544,                0.16948,                0.21462,                 0.2199,                0.19643,                0.16707,                0.89734,                 2.5088,                 3.3371,                 1.1016,              0.0003961,              0.0003961,              0.0003961
                    125,                0.40706,                0.55735,                0.48588,                0.87458,                0.33311,                0.17434,                0.18699,                0.15766,                0.33311,                0.17434,                0.18814,                0.16042,                0.90007,                 2.4734,                 3.4233,                 1.0993,             0.00039115,             0.00039115,             0.00039115
                    126,                0.38687,                 0.5688,                0.47813,                0.87494,                 0.3133,                0.18511,                0.18262,                0.15707,                 0.3133,                0.18511,                0.18356,                0.15781,                0.93149,                 2.5653,                 3.4239,                 1.1273,              0.0003862,              0.0003862,              0.0003862
                    127,                 0.4135,                0.55984,                0.49316,                 0.8799,                0.21975,                0.20706,                0.17614,                0.15045,                0.21975,                0.20706,                  0.175,                0.14893,                0.93634,                 2.6744,                 3.4386,                 1.1334,             0.00038125,             0.00038125,             0.00038125
                    128,                0.41758,                0.57472,                0.50768,                0.89655,                0.26375,                0.15662,                0.16457,                0.14058,                0.26375,                0.15662,                0.16304,                0.13768,                0.94527,                 2.6957,                 3.6186,                 1.1669,              0.0003763,              0.0003763,              0.0003763
                    129,                0.39235,                0.56882,                0.48144,                0.87717,                0.20567,                0.17266,                0.17923,                0.15398,                0.30445,                0.13605,                0.17366,                0.14924,                0.95346,                 2.5704,                 3.6121,                 1.1612,             0.00037135,             0.00037135,             0.00037135
                    130,                 0.4027,                 0.5492,                0.48933,                0.87905,                  0.229,                0.15839,                0.15749,                 0.1333,                  0.229,                0.15839,                0.15125,                0.13199,                0.93368,                 2.5218,                 3.5924,                 1.1379,              0.0003664,              0.0003664,              0.0003664
                    131,                0.40611,                0.59821,                0.49696,                 0.8775,                0.14537,                0.15979,                0.16678,                0.13776,                0.14735,                0.15979,                0.16143,                0.13364,                0.88535,                 2.6238,                 3.5071,                  1.107,             0.00036145,             0.00036145,             0.00036145
                    132,                0.39538,                0.53981,                0.46232,                 0.8815,                0.18921,                0.17169,                0.15449,                0.12899,                0.18921,                0.17169,                0.15385,                0.12637,                0.88751,                 2.8227,                 3.5288,                 1.0938,              0.0003565,              0.0003565,              0.0003565
                    133,                0.40129,                0.62301,                0.48018,                0.87905,                 0.1838,                0.16932,                0.16446,                0.13546,                 0.1838,                0.16932,                0.16446,                0.13435,                0.90603,                 2.9015,                 3.5228,                 1.1055,             0.00035155,             0.00035155,             0.00035155
                    134,                0.43522,                0.66344,                0.48891,                 0.8859,                 0.2171,                0.13898,                0.17997,                0.14831,                 0.2171,                0.13898,                0.17997,                0.14678,                0.90603,                 2.9001,                 3.4736,                  1.108,              0.0003466,              0.0003466,              0.0003466
                    135,                0.40292,                0.54853,                0.48667,                 0.8874,                0.15079,                0.19415,                0.15796,                0.13216,                0.15079,                0.19415,                0.15589,                0.12813,                0.96795,                 2.8047,                 3.5213,                 1.1332,             0.00034165,             0.00034165,             0.00034165
                    136,                0.39755,                0.56479,                0.49443,                0.88721,                0.16932,                0.19947,                0.14796,                0.12991,                0.16932,                0.19947,                0.14678,                0.13091,                0.98314,                 2.7414,                    3.6,                 1.1589,              0.0003367,              0.0003367,              0.0003367
                    137,                0.36787,                0.53741,                0.46868,                0.87922,                0.15021,                0.17468,                0.14015,                0.12068,                0.15166,                0.17419,                0.13904,                0.12271,                0.90381,                  2.697,                 3.5703,                 1.1352,             0.00033175,             0.00033175,             0.00033175
                    138,                0.37173,                0.54828,                0.46418,                0.87357,                0.16691,                0.17478,                0.14582,                0.12595,                0.16691,                0.17478,                0.14433,                0.12656,                0.88105,                 2.7523,                 3.5637,                 1.1161,              0.0003268,              0.0003268,              0.0003268
                    139,                0.39972,                0.57822,                0.45121,                0.86392,                0.15728,                0.16478,                0.14933,                0.12721,                0.15728,                0.16478,                0.14641,                 0.1263,                0.90383,                 2.5702,                 3.5238,                 1.1357,             0.00032185,             0.00032185,             0.00032185
                    140,                 0.3868,                0.52467,                0.47283,                0.88186,                0.16563,                0.18235,                0.14664,                0.12201,                0.16563,                0.18235,                0.14242,                0.12201,                0.93554,                 2.6088,                 3.5013,                 1.1851,              0.0003169,              0.0003169,              0.0003169
                    141,                0.39613,                0.54875,                0.48816,                0.87717,                0.17109,                0.19101,                0.16628,                  0.141,                0.17284,                0.19101,                0.16376,                0.14138,                0.91235,                 2.7707,                 3.5635,                 1.1838,             0.00031195,             0.00031195,             0.00031195
                    142,                0.40478,                0.59251,                0.46595,                0.87571,                0.25338,                0.18026,                0.16819,                0.14353,                0.25338,                0.18026,                0.16611,                0.14236,                0.88019,                 2.8587,                 3.5397,                 1.1697,               0.000307,               0.000307,               0.000307
                    143,                0.38402,                 0.5715,                 0.4767,                0.87755,                0.23687,                0.19796,                0.17446,                0.14554,                0.23687,                0.19796,                0.17247,                0.14693,                0.87798,                 2.8593,                 3.5785,                 1.1417,             0.00030205,             0.00030205,             0.00030205
                    144,                0.38367,                0.55939,                0.46234,                0.87892,                0.22288,                0.17154,                0.17461,                0.14519,                0.22288,                0.17154,                 0.1727,                0.14684,                0.88557,                 2.8418,                 3.6811,                 1.1279,              0.0002971,              0.0002971,              0.0002971
                    145,                0.36603,                0.54279,                0.44917,                0.88036,                0.28524,                0.16995,                0.19142,                0.16217,                0.28524,                0.16995,                0.19009,                0.16203,                0.87304,                 2.8725,                 3.5447,                 1.1116,             0.00029215,             0.00029215,             0.00029215
                    146,                0.38832,                0.57252,                0.45072,                0.87267,                0.25944,                0.21543,                 0.1791,                0.15623,                0.25944,                0.21543,                 0.1791,                0.15054,                0.87833,                 2.7997,                 3.5162,                 1.0954,              0.0002872,              0.0002872,              0.0002872
                    147,                0.37919,                0.57396,                0.44362,                0.86761,                0.16834,                0.18413,                0.15892,                0.13692,                0.16834,                0.18413,                0.15892,                0.13181,                0.89448,                  2.824,                 3.6378,                 1.0987,             0.00028225,             0.00028225,             0.00028225
                    148,                0.37712,                0.52417,                0.43518,                0.87258,                0.16307,                0.15379,                0.14602,                0.12529,                0.16307,                0.15379,                0.14739,                0.12101,                0.89844,                 2.7959,                 3.7656,                 1.0951,              0.0002773,              0.0002773,              0.0002773
                    149,                 0.3976,                0.59437,                0.47649,                0.88699,                0.17374,                0.13651,                0.15621,                0.13508,                0.17374,                0.13651,                0.15821,                0.13381,                0.92147,                   2.75,                 3.7332,                 1.1151,             0.00027235,             0.00027235,             0.00027235
                    150,                0.37289,                0.50854,                0.42561,                0.88325,                0.22203,                0.14602,                0.16074,                0.13488,                0.22203,                0.14602,                0.15629,                0.13353,                0.92361,                 2.7528,                 3.7578,                 1.1175,              0.0002674,              0.0002674,              0.0002674
                    151,                0.38144,                0.56508,                0.44166,                0.87363,                0.33061,                0.11692,                0.18091,                0.15231,                0.33061,                0.11692,                  0.175,                0.15041,                0.93392,                 2.7587,                 3.7983,                 1.1319,             0.00026245,             0.00026245,             0.00026245
                    152,                0.38572,                0.54373,                0.44724,                0.87252,                0.24754,                0.15302,                 0.1818,                0.15475,                0.24754,                0.15302,                0.17669,                0.14804,                0.89534,                 2.8682,                  3.735,                 1.1072,              0.0002575,              0.0002575,              0.0002575
                    153,                0.35121,                0.50122,                0.40638,                0.86136,                0.20051,                0.17169,                0.16952,                0.14391,                0.20051,                0.17169,                0.16679,                0.14207,                0.88135,                 2.8117,                 3.5427,                 1.1107,             0.00025255,             0.00025255,             0.00025255
                    154,                0.37595,                  0.542,                0.42222,                0.86225,                0.23982,                0.18308,                0.17215,                0.15414,                0.23982,                0.18308,                0.17011,                0.14721,                0.85013,                 2.8665,                 3.4444,                 1.1008,              0.0002476,              0.0002476,              0.0002476
                    155,                0.38946,                0.57465,                0.42687,                0.86429,                0.21872,                0.18604,                0.17521,                0.15541,                0.21872,                0.18604,                0.17267,                0.14966,                0.84896,                 2.8537,                 3.4361,                 1.1022,             0.00024265,             0.00024265,             0.00024265
                    156,                0.38256,                0.56274,                0.44148,                0.87337,                0.25009,                0.16058,                0.16145,                0.13975,                0.25009,                0.16058,                0.16064,                0.14095,                0.90061,                 2.6967,                 3.5669,                 1.1207,              0.0002377,              0.0002377,              0.0002377
                    157,                0.38176,                0.53126,                0.42205,                 0.8858,                0.26147,                0.13737,                0.17181,                0.14571,                0.26147,                0.13737,                0.16841,                0.14519,                0.92344,                  2.612,                 3.6917,                 1.1366,             0.00023275,             0.00023275,             0.00023275
                    158,                0.39196,                0.58245,                0.44047,                0.87003,                0.28219,                0.14301,                0.17534,                0.14704,                0.28219,                0.14301,                0.17269,                 0.1497,                0.93199,                 2.6128,                 3.7437,                 1.1364,              0.0002278,              0.0002278,              0.0002278
                    159,                0.36176,                0.49937,                0.42186,                0.86642,                 0.3435,                0.12447,                0.17388,                0.14157,                 0.3435,                0.12447,                0.17148,                0.14627,                0.94566,                 2.6815,                 3.7759,                 1.1703,             0.00022285,             0.00022285,             0.00022285
                    160,                 0.3738,                0.52782,                0.42993,                0.86438,                0.18482,                  0.166,                0.17405,                0.14624,                0.18482,                  0.166,                0.17052,                0.14611,                 0.9212,                  2.781,                    3.8,                 1.1497,              0.0002179,              0.0002179,              0.0002179
                    161,                0.35661,                0.50986,                0.42775,                0.87042,                0.17694,                 0.1573,                0.17046,                0.14168,                0.17694,                 0.1573,                0.16778,                0.14014,                0.94254,                 2.8156,                 3.7769,                  1.151,             0.00021295,             0.00021295,             0.00021295
                    162,                0.35342,                  0.482,                0.41769,                  0.873,                0.15957,                0.14877,                0.17321,                0.14331,                0.15957,                0.14877,                0.17067,                0.14293,                0.92497,                 2.8059,                 3.6617,                 1.1322,               0.000208,               0.000208,               0.000208
                    163,                0.36854,                0.52887,                0.43425,                0.86724,                0.19658,                0.18698,                0.17002,                0.14777,                0.19658,                0.18698,                0.16778,                0.14352,                0.87532,                 2.6897,                 3.6365,                 1.1002,             0.00020305,             0.00020305,             0.00020305
                    164,                0.37308,                0.53309,                0.41321,                0.86309,                0.17301,                0.17722,                0.16948,                0.14672,                 0.1732,                0.17629,                0.16752,                0.14186,                0.84635,                 2.7035,                 3.5429,                 1.0934,              0.0001981,              0.0001981,              0.0001981
                    165,                0.35655,                0.51465,                0.39781,                0.87399,                0.15695,                0.17604,                0.17017,                0.14534,                0.15695,                0.17604,                0.16838,                0.14203,                 0.8502,                 2.7974,                 3.5599,                 1.0943,             0.00019315,             0.00019315,             0.00019315
                    166,                0.33939,                0.49064,                 0.4159,                0.86145,                0.17083,                0.18076,                0.17978,                0.15261,                0.17083,                0.18076,                0.17793,                0.14976,                0.86157,                 2.8378,                 3.6077,                 1.1091,              0.0001882,              0.0001882,              0.0001882
                    167,                0.35289,                0.50283,                0.40678,                0.87181,                 0.1634,                0.16063,                0.17456,                0.14832,                 0.1634,                0.16063,                0.17248,                0.14565,                0.87564,                 2.8325,                 3.5884,                  1.125,             0.00018325,             0.00018325,             0.00018325
                    168,                0.36515,                 0.5452,                0.42732,                0.87405,                0.19013,                0.19417,                0.18344,                0.15381,                0.19013,                0.19417,                0.18121,                0.15117,                0.88846,                 2.7554,                 3.6203,                 1.1448,              0.0001783,              0.0001783,              0.0001783
                    169,                0.34195,                0.47274,                0.40515,                0.86532,                0.19665,                0.18893,                0.18016,                0.14422,                0.19665,                0.18893,                0.17749,                 0.1457,                0.89616,                 2.7117,                 3.6263,                 1.1419,             0.00017335,             0.00017335,             0.00017335
                    170,                 0.3672,                0.53029,                 0.4306,                0.86908,                0.29258,                0.15993,                0.19218,                0.15378,                0.29258,                0.15993,                0.18952,                  0.155,                0.90828,                 2.7055,                 3.5913,                  1.146,              0.0001684,              0.0001684,              0.0001684
                    171,                0.36003,                0.52621,                0.40499,                0.86861,                 0.2313,                0.19471,                0.19465,                0.16123,                 0.2313,                0.19471,                0.19459,                0.16211,                0.90599,                 2.7582,                  3.601,                 1.1443,             0.00016345,             0.00016345,             0.00016345
                    172,                 0.3633,                0.50375,                0.41436,                0.86552,                0.24536,                0.19134,                0.19037,                0.16296,                0.24536,                0.19134,                0.18844,                0.15941,                 0.8756,                 2.7971,                 3.6219,                  1.115,              0.0001585,              0.0001585,              0.0001585
                    173,                0.36254,                0.52823,                0.41629,                0.88533,                0.28814,                0.19875,                0.19522,                0.16778,                0.28814,                0.19875,                0.19336,                0.16105,                0.87248,                  2.774,                 3.6373,                 1.1139,             0.00015355,             0.00015355,             0.00015355
                    174,                0.35328,                0.51256,                0.39892,                0.86781,                0.28258,                0.18764,                0.19541,                 0.1672,                0.28258,                0.18764,                0.19352,                0.16214,                0.85934,                  2.745,                 3.6997,                 1.1052,              0.0001486,              0.0001486,              0.0001486
